"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"HR","PFS","B_cells_naive","ICB_Limagne1__Lung__PD-(L)1",0.203,0.139,70,0.145443633300656,"Lung","PD-(L)1",0.457108561802063
"HR1","PFS","B_cells_memory","ICB_Limagne1__Lung__PD-(L)1",-0.056,0.153,70,0.714246961621676,"Lung","PD-(L)1",0.830072095657355
"HR2","PFS","Plasma_cells","ICB_Limagne1__Lung__PD-(L)1",0.133,0.118,70,0.26236968259008,"Lung","PD-(L)1",0.647887341235155
"HR3","PFS","T_cells_CD8","ICB_Limagne1__Lung__PD-(L)1",-0.044,0.135,70,0.746078561663299,"Lung","PD-(L)1",0.830072095657355
"HR4","PFS","T_cells_CD4_naive","ICB_Limagne1__Lung__PD-(L)1",0.028,0.132,70,0.834402639830855,"Lung","PD-(L)1",0.835843215947504
"HR5","PFS","T_cells_CD4_memory_resting","ICB_Limagne1__Lung__PD-(L)1",-0.074,0.147,70,0.614304104738598,"Lung","PD-(L)1",0.830072095657355
"HR6","PFS","T_cells_CD4_memory_activated","ICB_Limagne1__Lung__PD-(L)1",0.119,0.133,70,0.373915459828408,"Lung","PD-(L)1",0.752421660595342
"HR7","PFS","T_cells_follicular_helper","ICB_Limagne1__Lung__PD-(L)1",-0.043,0.137,70,0.754610996052141,"Lung","PD-(L)1",0.830072095657355
"HR8","PFS","T_cells_regulatory_.Tregs.","ICB_Limagne1__Lung__PD-(L)1",-0.191,0.172,70,0.265044821414382,"Lung","PD-(L)1",0.647887341235155
"HR9","PFS","T_cells_gamma_delta","ICB_Limagne1__Lung__PD-(L)1",0.254,0.114,70,0.0259751681756923,"Lung","PD-(L)1",0.271948288971472
"HR10","PFS","NK_cells_resting","ICB_Limagne1__Lung__PD-(L)1",0.087,0.128,70,0.497713255416668,"Lung","PD-(L)1",0.775423970126148
"HR11","PFS","NK_cells_activated","ICB_Limagne1__Lung__PD-(L)1",-0.263,0.157,70,0.0933455741471846,"Lung","PD-(L)1",0.410720526247612
"HR12","PFS","Monocytes","ICB_Limagne1__Lung__PD-(L)1",-0.051,0.146,70,0.725397413362743,"Lung","PD-(L)1",0.830072095657355
"HR13","PFS","Macrophages_M0","ICB_Limagne1__Lung__PD-(L)1",0.268,0.127,70,0.0349476535082103,"Lung","PD-(L)1",0.271948288971472
"HR14","PFS","Macrophages_M1","ICB_Limagne1__Lung__PD-(L)1",-0.315,0.17,70,0.0632345572490004,"Lung","PD-(L)1",0.347790064869502
"HR15","PFS","Macrophages_M2","ICB_Limagne1__Lung__PD-(L)1",-0.096,0.152,70,0.528698161449647,"Lung","PD-(L)1",0.775423970126148
"HR16","PFS","Dendritic_cells_resting","ICB_Limagne1__Lung__PD-(L)1",-0.119,0.16,70,0.458730983659681,"Lung","PD-(L)1",0.775423970126148
"HR17","PFS","Dendritic_cells_activated","ICB_Limagne1__Lung__PD-(L)1",-0.029,0.14,70,0.835843215947504,"Lung","PD-(L)1",0.835843215947504
"HR18","PFS","Mast_cells_resting","ICB_Limagne1__Lung__PD-(L)1",-0.273,0.186,70,0.142604346892511,"Lung","PD-(L)1",0.457108561802063
"HR19","PFS","Mast_cells_activated","ICB_Limagne1__Lung__PD-(L)1",-0.112,0.137,70,0.410411814870186,"Lung","PD-(L)1",0.752421660595342
"HR20","PFS","Eosinophils","ICB_Limagne1__Lung__PD-(L)1",0.289,0.139,70,0.0370838575870189,"Lung","PD-(L)1",0.271948288971472
"HR21","PFS","Neutrophils","ICB_Limagne1__Lung__PD-(L)1",0.092,0.111,70,0.406998411992412,"Lung","PD-(L)1",0.752421660595342
