"","B_cells_naive","B_cells_memory","Plasma_cells","T_cells_CD8","T_cells_CD4_naive","T_cells_CD4_memory_resting","T_cells_CD4_memory_activated","T_cells_follicular_helper"
"1",0.00641985474859888,0.00884192819835317,0.154907307941863,0.0526247385003724,0.165319213153133,0.0155765684486176,0.00522002233128985,0.591090366677772
"2",0.00484086165983785,0.00801193520299513,0.175091520081853,0.0799486278220426,0.0587192751383823,0.00409313161775944,2.42677876540237e-10,0.669294648234452
"3",0.0310590172160747,0.00617731193853963,0.154279278698302,0.0971902550810058,0.228213359587683,0.0142464889864887,4.23505514776477e-09,0.468834284256852
"4",0.0116727812302409,0.00553092864864252,0.230334485744943,0.0767247368575884,0.150485659544607,0.00841912537591158,1.20745824571846e-09,0.516832281390608
"5",0.00935734441278278,0.00339780444065256,0.0593294981691435,0.0655486214163189,0.125743389505093,0.00734397884685292,3.51701886160164e-10,0.729279362857455
"6",0.0130843471383503,0.00866908481709231,0.106777569348843,0.0522250127948895,0.128553594866143,0.0120177134023306,0.00160758021557847,0.677065097416773
"7",0.0223576515610738,0.011886171261709,0.151611245746136,0.0551154608017604,0.165730781323415,0.0165043713424655,2.152837614241e-09,0.576794315810602
"8",0.00504068053403422,0.0178829713467693,0.251283557833004,1.63986390359553e-06,0.135909134786078,0.00634231257709683,4.47435652727501e-11,0.583539703014371
"9",0.0574491460257938,0.028367005871221,0.234284282196552,0.138771855977161,0.188916978805442,0.0070775928694086,9.18086487049992e-10,0.345133137336335
"10",0.0110556830482834,0.0095949588222169,0.0271675602429625,0.133540640219404,0.158110358574904,0.0152687321055224,2.40322936865312e-09,0.645262064583478
"11",0.0205411146621211,0.00778759004922031,0.291157221097022,0.0263497653267136,0.101754156651063,0.00873167568385839,1.20311201344258e-09,0.54367847532689
"12",0.0102767503155183,0.00189697622324416,0.348764443906482,0.104524470104112,0.141283667824463,0.00573972195929491,1.22645955064571e-09,0.387513968440425
"13",2.70753979241385e-06,0.00517854657773666,0.169692556214958,0.012774405443034,0.0590521624622263,0.00316494461226983,2.08401289601511e-09,0.750134675065969
"14",0.00792500095996765,0.00485849265026495,0.178455777483056,0.0749567750200363,0.126492082873237,0.00940266744774346,1.31255423928327e-09,0.59790920225314
"15",0.000653692692815323,0.00793454918220954,0.0423558685394028,0.104634315436804,0.0418016260898828,0.00431256871692188,1.72356569483773e-08,0.798307362106307
"16",0.00911213170804892,0.0404520546656536,0.148848513785295,0.0926073290635219,0.137683923071757,0.014324563664203,1.62431018209413e-09,0.556971482417211
"17",0.00429834728082431,0.00314087747496513,0.0394189482801793,0.0333031860663663,0.137390183364234,0.0109678325505277,5.57106926681009e-08,0.771480569272211
"18",0.0200374371464074,0.0202013078740677,0.111278244192839,0.0104914826018632,0.115646829534235,0.00604919112783405,3.60862559627709e-09,0.716295503914129
"19",0.0249790222715913,0.00642556613080295,0.0921234115057336,0.071109743331799,0.0911347295254186,0.00264364799289622,0.00197583504462869,0.70960804419713
"20",0.00873364243763699,0.0176746848230488,0.211515421974283,0.042978862677559,0.189202340455159,0.0123562243085739,1.81654742404575e-10,0.517538823142085
"21",0.0270188223933585,0.0156060479273381,0.178273497572117,0.0620577036607519,0.153971647751834,0.0117795236614215,5.79731632809066e-09,0.551292751235863
"22",0.00506378719686288,0.00876132786079624,0.13793280072891,0.0584562205182619,0.158638551513671,0.00293205013931783,5.3035950795187e-09,0.628215256738585
"23",4.47823653834141e-09,0.0136133985467929,0.138877049735074,0.042564122705305,0.0826435270839202,0.00628570223728124,0.00232182472025309,0.713694370493137
"24",0.00397424217706473,0.00268388562198263,0.0170915184112134,0.017753673662344,0.135425129965171,0.00942440424099934,2.01595069054192e-09,0.813647143905274
"25",0.00189652451767573,0.0090543428374374,0.167450503669293,0.0966294250075305,0.115974093140662,0.00906683118162866,7.63900252549633e-08,0.599928203255748
"26",0.00599068644383854,0.0177984920092438,0.250281833088206,0.0652206012614869,0.209569004871587,0.0153542156524726,3.13950397487513e-08,0.435785135278126
"27",0.00326686695155837,0.0049225994228276,0.0863772264276709,0.0453887496459279,0.0880194268802608,0.0109785544057007,1.96382810478763e-09,0.761046574302226
"28",0.00212148819812753,0.0136741495086043,0.0349780479552963,0.0613123225652879,0.25368704084543,0.00654748834594337,1.70439232378658e-09,0.627679460876918
