"","B_cells_naive","B_cells_memory","Plasma_cells","T_cells_CD8","T_cells_CD4_naive","T_cells_CD4_memory_resting","T_cells_CD4_memory_activated","T_cells_follicular_helper"
"1",0.0247747453413202,0.0118311852229831,0.224203533367203,0.0643611617770313,0.1205813101265,0.00529127445868018,1.39951873311705e-09,0.548956788306763
"2",0.0179388941356149,0.0121734465806156,0.210321168248285,0.051923219085226,0.0767840783310933,0.00621043467210226,9.61284158890068e-10,0.624648757985779
"3",0.0128426293093331,0.0110525910722463,0.206405469530625,0.0524671886760359,0.077877718307682,0.00411138000950086,2.10879936735664e-10,0.635243022883697
"4",0.012876160108468,0.0174935074813681,0.2358753145349,0.0691646832482289,0.10716234667517,0.00874628042639524,6.76077867546343e-10,0.548681706849393
"5",0.0207734457186786,0.0153165726106215,0.216247556934554,0.0595716078141546,0.128916600515296,0.0101264981110108,6.75377586709701e-11,0.549047718228147
"6",0.00678026112516654,0.00890831642829039,0.262708936743591,0.0361732062630703,0.0280807367538658,0.0111894260524379,2.63248983535241e-10,0.646159116370329
"7",0.0241680546070346,0.010883002732286,0.197942058493924,0.0925231160301682,0.0998237966047946,0.00631746455524172,4.27085206655878e-10,0.568342506549466
"8",0.00291638264148513,0.0105605500049871,0.256589483499978,0.0343699055536703,0.0735488177159174,0.00602429537115876,1.53596868288267e-08,0.615990549853116
"9",0.00697219136583432,0.0128223444582933,0.218209074405424,0.0421314144119396,0.0599896564747712,0.0102328123993955,1.00038844850068e-09,0.649642505483954
"10",0.00947459447670369,0.0202425166172553,0.218461976035649,0.0617011434645672,0.0669289967328999,0.0102302470681133,4.44886056992143e-10,0.612960525159926
"11",0.00651912030517745,0.0144147610906783,0.1799630443415,0.0439630579946528,0.0844267850672133,0.0095586425847668,1.04739817079958e-10,0.661154588511272
"12",0.0156069023243316,0.0200739728842193,0.25910051492061,0.0729289322801252,0.0663308611076136,0.0071109334793558,2.14182250700836e-11,0.558847882982326
"13",0.0309213981308893,0.0156536478006468,0.216818103752309,0.0815544481705278,0.132553595680831,0.00625338514669339,2.77123418372305e-10,0.51624542104098
"14",0.00171484007693683,0.0213276346344738,0.219526772970648,0.0705317969862531,0.128231081786771,0.00777798625706087,2.59560339207779e-10,0.550889887028296
"15",0.0190225547232626,0.0157776779391008,0.25336590074235,0.094557495716755,0.091870805836515,0.00825015500461099,5.97492445859259e-11,0.517155409977656
"16",0.0189374325025347,0.019130749408886,0.226471569743698,0.057869316287075,0.108755776412575,0.00840837191957666,3.21076694207742e-10,0.560426783404578
"17",0.0124818442059693,0.0131482313396264,0.226208711011594,0.0660276163396404,0.0714305285616197,0.0111518305012209,1.45665458162642e-09,0.599551236583675
"18",0.0247961808910435,0.0194857039274413,0.229984093601994,0.0856324092220523,0.0875346598389909,0.00774721804636625,2.89497126075833e-08,0.544819705522399
"19",0.036100450828564,0.0186001301481992,0.242152740092027,0.0645045799043202,0.0874459992858704,0.0079891265662002,4.03657943906495e-09,0.543206969138239
"20",0.0602526187422613,0.018406700596874,0.275524437845403,0.0952300015612396,0.105448683354207,0.00765044272910192,1.82304048594617e-10,0.437487114988609
"21",0.0231960307306203,0.0115571627128759,0.223068664421042,0.0604487572495719,0.138511427826912,0.00406200233002616,3.89645691845751e-10,0.539155954339306
"22",0.0114793888251062,0.016589918914988,0.220512415466513,0.0637326127640497,0.102099947287274,0.00674107772262171,4.18254531733528e-10,0.578844638601193
"23",0.00642402541820293,0.0166961460166033,0.170130181826706,0.0797747882933211,0.0892574337665508,0.00530796803797043,8.16468734716141e-10,0.632409455824177
"24",0.0166139676175152,0.0121155208403525,0.235735123691137,0.0555112036210249,0.140742306160214,0.00364418344178391,2.52210525935376e-08,0.53563766940692
"25",0.0153999962649345,0.013482870327,0.25537040141369,0.0682071972231528,0.0920042689721351,0.00772412943188358,9.52854367725201e-10,0.547811135414349
"26",0.0233096831583502,0.0174131228747002,0.216293092581075,0.0605143397328426,0.0792100230850098,0.00752338125261871,1.46748545858113e-11,0.595736357300728
