"Treatment","CellType","Coef","SE","CI_lower","CI_upper","Pval","I2","Q_Pval","FDR"
"PD-(L)1","B_cells_naive",-0.0228642480527625,0.0662257978627974,-0.152664426711275,0.10693593060575,0.729908800859877,0,0.668713837710614,0.845157558890384
"PD-(L)1","B_cells_memory",-0.058893298682696,0.0748726016111746,-0.205640901269414,0.0878543039040218,0.431527710589924,0,0.953186334681808,0.666827099518205
"PD-(L)1","Plasma_cells",-0.109079241434751,0.0637688370503289,-0.234063865389399,0.015905382519897,0.087165788320046,0.11762010780194,0.310789510339159,0.213071927004557
"PD-(L)1","T_cells_CD8",-0.276419684695039,0.0726355743980131,-0.418782794511525,-0.134056574878554,0.000141478608252536,0.0423505564804844,0.404484198233685,0.00267688032285751
"PD-(L)1","T_cells_CD4_naive",0.033470482983865,0.081313575387921,-0.125901196230643,0.192842162198373,0.680616265391742,0,0.749600071832151,0.831864324367684
"PD-(L)1","T_cells_CD4_memory_resting",0.202202341159813,0.0730205207292993,0.0590847503980261,0.3453199319216,0.00562085035170524,0.233401420164307,0.172800019129147,0.0294813201663685
"PD-(L)1","T_cells_CD4_memory_activated",-0.199029900295412,0.0734052821260988,-0.342901609537568,-0.0551581910532568,0.00670030003781101,0.191387191927201,0.225233797074439,0.0294813201663685
"PD-(L)1","T_cells_follicular_helper",-0.162445174418871,0.0679860193867446,-0.295695323869132,-0.0291950249686093,0.0168763365317125,0.0536522241741236,0.390562623696657,0.061879900616279
"PD-(L)1","T_cells_regulatory_.Tregs.",0.00306465111484208,0.0680902718279757,-0.130389829365533,0.136519131595217,0.964100415390393,0,0.820960222822521,0.976967250143691
"PD-(L)1","T_cells_gamma_delta",-0.110537387699282,0.069247454644918,-0.246259904824392,0.0251851294258281,0.11042932013033,0,0.539314703486773,0.242944504286725
"PD-(L)1","NK_cells_resting",0.0600695097911181,0.0726714000837966,-0.0823638170792243,0.202502836661461,0.40846904098445,0,0.708498749932209,0.666827099518205
"PD-(L)1","NK_cells_activated",-0.204784138336535,0.063855436728342,-0.329938494541161,-0.0796297821319085,0.00134128801172411,0,0.485377463985468,0.00983611208597684
"PD-(L)1","Monocytes",0.130241068990245,0.0669265595357803,-0.000932577309060101,0.26141471528955,0.0516511785327764,0,0.741124601220208,0.142040740965135
"PD-(L)1","Macrophages_M0",0.134427601150911,0.0690479332688854,-0.000903861263029188,0.269759063564851,0.0515498856503227,0.0852586481777519,0.35125447912478,0.142040740965135
"PD-(L)1","Macrophages_M1",-0.313845067927619,0.0855360431973117,-0.481492631974412,-0.146197503880826,0.00024335275662341,0.426719791377796,0.0258774310754604,0.00267688032285751
"PD-(L)1","Macrophages_M2",0.046013010150432,0.0655935710615349,-0.082548026747545,0.174574047048409,0.482999403745041,0,0.804939419398631,0.666827099518205
"PD-(L)1","Dendritic_cells_resting",-0.0484289638485826,0.069348780655155,-0.184350076304454,0.0874921486072892,0.484965163285967,0,0.622953076660141,0.666827099518205
"PD-(L)1","Dendritic_cells_activated",-0.00201346055533934,0.0697392167370225,-0.138699813669936,0.134672892559258,0.976967250143691,0,0.924353902416101,0.976967250143691
"PD-(L)1","Mast_cells_resting",-0.0119196390120362,0.074312202671277,-0.15756887985958,0.133729601835508,0.872566395549436,0,0.647892051999172,0.95982303510438
"PD-(L)1","Mast_cells_activated",0.0283048922309072,0.0645686722965422,-0.0982473799998847,0.154857164461699,0.661118950296853,0,0.836683047735461,0.831864324367684
"PD-(L)1","Eosinophils",0.107081464882472,0.0748780204713058,-0.0396767584749402,0.253839688239884,0.152694422348434,0,0.952212088186057,0.305388844696869
"PD-(L)1","Neutrophils",0.102246837685796,0.0826399629638318,-0.0597245134070383,0.26421818877863,0.215991843240026,0,0.652364774215583,0.395985045940048
